Select,Prod Code,Ingr Prod Code,Ingredient Description,Pack Size,Recipe Weight,Cost,Recipe Use,Total Cost,Unit Cost Excl
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,,,,-,
BAKERY,,,,,43.8,,,521.22,
BAKERY,,,,,Scale,,0.660,,
BAKERY,,,,,Yield,66.36,70.00,,
BAKERY,,,,,Cost excl per Each/Kg,,,,7.45
BAKERY,,,,,,,,,
BUTCHERY,26659,Sipho's Braaiwors.,Vat,,,,,,19.32
BUTCHERY,,Prod Code,Description,Pack,Weight,Cost,Recipe,Cost,
BUTCHERY,,28743,FROZEN MDM,P/KG,40.000,15.50,40.000,620.00,
BUTCHERY,,29245,SOYA MINCE NATURAL,20KG,7.000,19.95,7.000,139.65,
BUTCHERY,,28760,BEEF KIDNEY FAT,P/KG,20.000,13.99,20.000,279.80,
BUTCHERY,,33696,SPAR WATER,P/KG,20.000,3.30,20.000,66.00,
BUTCHERY,,28444,SPECIAL DHANIA SAUSAGE,P/KG,0.700,99.99,0.700,69.99,
BUTCHERY,,27142,BRAAI SUPREME,3KG,3.000,60.76,3.000,182.28,
BUTCHERY,,28688,GARLIC POWDER,1KG,0.125,123.50,0.125,15.44,
BUTCHERY,,31548,BBQ SIX GUN GRILL,8KG,0.200,74.89,0.200,14.98,
BUTCHERY,,31923,HOG CASINGS 28/32 LONGS,P/KG,,239.99,1.300,312.07,
BUTCHERY,,,,,,,,-,
BUTCHERY,,,,,,,,-,
BUTCHERY,,,,,,,,-,
BUTCHERY,,,,,,,,-,
BUTCHERY,,,,,,,,-,
BUTCHERY,,,,,,,,-,
BUTCHERY,,,,,,,,-,
BUTCHERY,,,,,,,,-,
BUTCHERY,,,,,,,,-,
BUTCHERY,,,,,91.025,,,"1,700.21",
BUTCHERY,,,,,Scale,,1.000,,
BUTCHERY,,,,,Yield,91.03,88.00,,
BUTCHERY,,,,,Cost excl per Each/Kg,,,,19.32
BUTCHERY,,,,,,,,,
BUTCHERY,32168,C/N TOM & ONION FLAV GROUND BEEF,Vat,,,,,,53.75
BUTCHERY,,Prod Code,Description,Pack,Weight,Cost,Recipe,Cost,
BUTCHERY,,28863,VAC CROPS 90/10,P/KG,9.000,69.99,9.000,629.91,
BUTCHERY,,28760,BEEF KIDNEY FAT,P/KG,2.300,13.99,2.300,32.18,
BUTCHERY,,33696,SPAR WATER,P/KG,2.700,3.30,2.700,8.91,
BUTCHERY,,32163,GROUND BEEF TOM/ONIO FLAV,1KG,1.000,81.46,1.000,81.46,
BUTCHERY,,,,,,,,-,
BUTCHERY,,,,,,,,-,
BUTCHERY,,,,,,,,-,
BUTCHERY,,,,,,,,-,
BUTCHERY,,,,,,,,-,
BUTCHERY,,,,,,,,-,
BUTCHERY,,,,,,,,-,
BUTCHERY,,,,,,,,-,
BUTCHERY,,,,,,,,-,
BUTCHERY,,,,,,,,-,
BUTCHERY,,,,,,,,-,
BUTCHERY,,,,,,,,-,
BUTCHERY,,,,,,,,-,
BUTCHERY,,,,,,,,-,
BUTCHERY,,,,,15,,,752.45,
BUTCHERY,,,,,Scale,,1.000,,
BUTCHERY,,,,,Yield,15.00,14.00,,
BUTCHERY,,,,,Cost excl per Each/Kg,,,,53.75
BUTCHERY,,,,,,,,,
BUTCHERY,32952,MZANSI RUSSIAN WORS,Vat,,,,,,32.17
BUTCHERY,,Prod Code,Description,Pack,Weight,Cost,Recipe,Cost,
BUTCHERY,,26707,SHEEP SKIRTS,P/KG,7.000,42.99,7.000,300.93,
BUTCHERY,,28760,BEEF KIDNEY FAT,P/KG,4.300,13.99,4.300,60.16,
BUTCHERY,,33696,SPAR WATER,P/KG,7.700,3.30,7.700,25.41,
BUTCHERY,,32988,MZANSI RUSSIAN GRILLER,3KG,3.000,2.85,3.000,8.54,
BUTCHERY,,31353,PORK TRIMMINGS 70%,P/KG,4.300,40.95,4.300,176.09,
BUTCHERY,,28863,VAC CROPS 90/10,P/KG,3.700,69.99,3.700,258.96,
BUTCHERY,,31923,HOG CASINGS 28/32 LONGS,P/KG,,239.99,0.429,102.85,
BUTCHERY,,,,,,,,-,
BUTCHERY,,,,,,,,-,
BUTCHERY,,,,,,,,-,
BUTCHERY,,,,,,,,-,
BUTCHERY,,,,,,,,-,
BUTCHERY,,,,,,,,-,
BUTCHERY,,,,,,,,-,
BUTCHERY,,,,,,,,-,
BUTCHERY,,,,,,,,-,
BUTCHERY,,,,,,,,-,
BUTCHERY,,,,,,,,-,
BUTCHERY,,,,,30,,,932.94,
BUTCHERY,,,,,Scale,,1.000,,
BUTCHERY,,,,,Yield,30.00,29.00,,
BUTCHERY,,,,,Cost excl per Each/Kg,,,,32.17
BUTCHERY,,,,,,,,,
BUTCHERY,26670,Exim Spicy Mutton Sausage,Vat,,,,,,46.46
BUTCHERY,,Prod Code,Description,Pack,Weight,Cost,Recipe,Cost,
